GB_locus	gene	DE11	E13	E15	E18	E21	P0	P7	P14	A
RNKER19	keratin	1.7	0.34	0.52	0.4	0.68	0.46	0.32	0.08	0
s63830	cellubrevin	5.75	4.41	1.19	2.13	2.3	2.53	3.89	3.95	2.72
RATNESTIN	nestin	2.53	3.27	5.2	2.8	1.5	1.12	0.53	0.51	0.44
RATMAP2	MAP2	0.04	0.51	1.55	1.65	1.66	1.49	1.43	1.58	1.89
RATGAP43	GAP43	0.87	1.49	1.67	1.93	2.32	2.29	1.86	1.87	2.39
S55536	L1	0.06	0.16	0.51	0.92	0.96	0.86	0.49	0.4	0.38
RATNFL	NFL	0.48	5.59	6.71	9.84	9.78	13.46	14.92	7.86	4.48
RATNFM	NFM	0.57	3.37	5.15	4.09	4.54	7.03	6.68	13.59	27.69
RATNFHPEP	NFH	0.16	0.14	0.54	1.14	1.55	1.66	1.92	4.05	3.85
RNSYN	synaptophysin	0.2	0.63	1.57	1.47	1.94	2	2.38	2.19	1.75
RATENONS	neno	0.27	0.7	1.41	1.46	1.86	1.55	1.63	1.58	1.51
RATS100B	S100_beta	0.05	0.01	0.49	1.3	1.48	1.35	1.43	2.27	2.16
RNU03700	GFAP	0	0	0	0.29	2.7	3.73	8.7	7.45	6.54
RATMOG	MOG	0	0	0	0	0.01	0.38	1.46	2.08	1.81
RATGAD65	GAD65	0.35	1.11	2.53	3.8	3.21	2.79	2.67	2.32	2.35
RATGAD67	pre-GAD67	0.07	0.18	1.17	1.43	1.44	1.38	1.16	1	0.98
RATGAD67	GAD67	0.29	0.3	1.06	2.79	3.57	3.18	2.6	2.3	2.07
RATGAD67	G67I80/86	0.76	1.38	2.35	1.88	1.33	1	0.66	0.56	0.3
RATGAD67	G67I86	0.07	0.2	0.64	0.76	0.4	0.2	0.05	0.02	0
RATGABAT	GAT1	0.83	1.07	5.68	3.86	4.78	4.7	4.87	4.6	4.67
(*)	ChAT	0	0.02	0.36	0.32	0.66	0.59	0.79	1.01	1.42
S50879	ACHE	0.17	0.42	1.63	2.72	3.27	3.51	4.21	3.88	3.95
RATODC	ODC	1.84	2	1.8	1.61	1.56	1.56	1.39	1.31	1.11
RATTOHA	TH	0.63	1.22	1	0.8	0.65	0.69	0.23	0.28	0
RRBNOS	NOS	0.05	0.14	0.67	0.63	0.86	0.92	0.79	0.64	0.44
(#)	GRa1	0.45	0.62	0.8	0.97	1.02	1.18	1.29	1.46	1.51
(Ý)	GRa2	0.02	0.14	1.5	2.04	2.05	2.26	2.01	2.39	2.56
RNGABAA	GRa3	0.28	0.27	1.48	1.65	1.51	1.3	1.05	1.39	1.21
(§)	GRa4	0.02	0.31	0.88	1.33	1.65	1.54	1.1	0.87	0.36
(#)	GRa5	0.15	0.14	1.37	2.37	2.47	2.37	2.1	2.53	2.21
RATGARB1	GRb1	0	0	1.26	2.23	2.17	2.05	2.09	3.84	1.94
RATGARB2	GRb2	0	0	0	1.37	0.79	0.9	0.91	0.37	0.23
RATGARB3	GRb3	0.51	0.69	1.41	1.41	1.53	1.5	1.32	1.9	1.09
RNGABA	GRg1	0.13	0.4	2.83	6.16	5.89	7.2	6.8	12.01	12.34
(#)	GRg2	0	1.19	2.72	3.09	2.99	2.34	1.99	2.42	3.71
RATGABAA	GRg3	0.33	0.46	1.35	2.15	2.52	2.32	1.73	1.85	1.54
RATGPCGR	mGluR1	0	0	0	0.11	0.12	0.14	0.1	0.25	0.56
RATMGLURB	mGluR2	0	0.15	0.13	0.31	0.3	0.36	0.27	0.04	0.09
RATMGLURC	mGluR3	0.02	0.07	0.42	0.83	0.94	0.82	0.69	0.97	1.05
